Ticker,Company_Name,Score,Result_Tag,Latest_GPM,GPM_YoY_Slope,GPM_Inflection,GPM_Consecutive,Latest_OPM,OPM_YoY_Slope,OPM_Inflection,OPM_Consecutive,Operating_Leverage,Rev_YoY,Rev_Acceleration,Rev_New_High,Non_Op_Ratio,Score_Details,Score_Percentile
3017.TW,奇鋐,50,✅ B級：趨勢改善,25.5,-0.62,False,0,19.09,-1.68,False,0,2.71,0.0,0.0,True,0,"{""base"": 30, ""ol"": ""+15 (OL=2.71)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""0"", ""non_op"": ""+5 (低業外)""}",13.768115942028986
8454.TW,富邦媒,48,🔍 C級：觀察中,8.98,-0.2,False,0,2.86,-0.11,False,0,0.55,6.91,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.55)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
8227.TW,巨有科技,48,🔍 C級：觀察中,21.22,-5.09,False,0,8.68,-4.12,False,0,0.81,4.7,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.81)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
3481.TW,群創,48,🔍 C級：觀察中,7.95,-0.43,False,0,-1.76,-0.38,False,0,0.88,2.2,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.88)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
1102.TW,亞泥,48,🔍 C級：觀察中,16.43,-1.64,False,0,12.43,-1.48,False,0,0.9,5.44,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.90)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
1722.TW,台肥,48,🔍 C級：觀察中,12.45,-4.67,False,0,2.98,-3.92,False,0,0.84,1.59,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.84)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
2360.TW,致茂,48,🔍 C級：觀察中,61.87,-3.57,False,0,31.47,-2.57,False,0,0.72,22.76,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.72)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
4904.TW,遠傳,48,🔍 C級：觀察中,31.62,-0.46,False,0,16.36,-0.32,False,0,0.7,4.12,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.70)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
3023.TW,信邦,48,🔍 C級：觀察中,24.1,-0.61,False,0,10.94,-0.32,False,0,0.52,7.28,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.52)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
1609.TW,大亞,48,🔍 C級：觀察中,14.11,-0.8,False,0,8.8,-0.79,False,0,0.99,3.5,0.0,True,0,"{""base"": 30, ""ol"": ""+10 (OL=0.99)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",8.695652173913043
3045.TW,台灣大,43,🔍 C級：觀察中,20.96,-0.12,False,0,10.88,-0.01,False,0,0.08,4.06,0.0,True,0,"{""base"": 30, ""ol"": ""+5 (OL=0.08)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",3.260869565217391
2324.TW,仁寶,43,🔍 C級：觀察中,5.58,-0.29,False,0,1.41,-0.04,False,0,0.14,4.65,0.0,True,0,"{""base"": 30, ""ol"": ""+5 (OL=0.14)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",3.260869565217391
2308.TW,台達電,43,🔍 C級：觀察中,34.14,-1.37,False,0,14.62,-0.43,False,0,0.31,12.5,0.0,True,0,"{""base"": 30, ""ol"": ""+5 (OL=0.31)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",3.260869565217391
3036.TW,文曄,43,🔍 C級：觀察中,4.17,-0.15,False,0,1.78,-0.02,False,0,0.13,13.24,0.0,True,0,"{""base"": 30, ""ol"": ""+5 (OL=0.13)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",3.260869565217391
9921.TW,巨大,43,🔍 C級：觀察中,19.84,-0.6,False,0,2.63,-0.15,False,0,0.25,4.25,0.0,True,0,"{""base"": 30, ""ol"": ""+5 (OL=0.25)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",3.260869565217391
1503.TW,士電,43,🔍 C級：觀察中,22.19,-0.67,False,0,13.16,-0.07,False,0,0.1,0.69,0.0,True,0,"{""base"": 30, ""ol"": ""+5 (OL=0.10)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",3.260869565217391
2317.TW,鴻海,38,ℹ️  D級：尚無明顯訊號,6.27,-0.06,False,0,3.16,0.0,False,0,-0.0,11.66,0.0,True,0,"{""base"": 30, ""ol"": ""0 (OL=-0.00)"", ""gpm_improve"": ""0"", ""opm_improve"": ""0"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",0.7246376811594203
