Ticker,Company_Name,Health_Score,CCR_TTM,FCF_Status,FCF_Value,FCF_Yield,FCF_Yield_Status,Margin_Stability,Stability_Status,Asset_Growth,Asset_Growth_Status,Sloan_Ratio,Sloan_Status,Inv_Days,Inv_Days_Change,Inv_Risk,Health_Rating,Score_Details,Score_V1,Result_Tag_V1
2382.TW,廣達,42,-0.13,✅ 正流入,84731.47,-0.0,⚠️ 負值 (-5~0%),,有效季數不足,20.94,⚠️ 高速擴張 (20-40%),0.0008,✅ 健康,43.2,0.6,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": -8}",93,🏆 SSS級：雙拐點確認
2241.TW,原相,75,,✅ 正流入,19.24,-0.0,⚠️ 負值 (-5~0%),,有效季數不足,-12.77,🏆 收縮 (<0%，謹慎經營),-0.0683,🏆 優秀 (現金流強勁),107.1,-5.9,✅ 健康 (改善),✅ B級：正常,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",93,⭐ A級：持續性擴張
6414.TW,樺漢,80,1.53,✅ 正流入,13302.05,0.13,⚡ 偏低 (0-2%),,有效季數不足,9.19,✅ 穩健 (0-10%),-0.0218,🏆 優秀 (現金流強勁),72.6,7.8,⚡ 留意 (微升),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": -5, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",93,⭐ A級：持續性擴張
2002.TW,中鋼,90,43.59,✅ 正流入,55781.7,0.06,⚡ 偏低 (0-2%),,有效季數不足,-3.28,🏆 收縮 (<0%，謹慎經營),-0.0882,🏆 優秀 (現金流強勁),86.6,-4.5,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",93,🏆 SSS級：雙拐點確認
6505.TW,台塑化,90,9.8,✅ 正流入,51842.63,0.02,⚡ 偏低 (0-2%),,有效季數不足,-2.06,🏆 收縮 (<0%，謹慎經營),-0.1183,🏆 優秀 (現金流強勁),33.7,-2.5,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",93,⭐ A級：持續性擴張
4919.TW,新唐,60,,⚠️ 負流出 (擴產),-878.23,-0.0,⚠️ 負值 (-5~0%),,有效季數不足,6.78,✅ 穩健 (0-10%),0.0023,✅ 健康,92.2,-8.4,✅ 健康 (改善),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",90,🏆 SSS級：雙拐點確認
3661.TW,世芯-KY,95,2.04,✅ 正流入,22377.58,0.02,⚡ 偏低 (0-2%),,有效季數不足,4.0,✅ 穩健 (0-10%),-0.3076,🏆 優秀 (現金流強勁),65.1,-20.3,🏆 優秀 (大幅改善),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 10, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",88,⭐ A級：持續性擴張
2105.TW,正新,90,1.75,✅ 正流入,13673.61,0.06,⚡ 偏低 (0-2%),,有效季數不足,-4.72,🏆 收縮 (<0%，謹慎經營),-0.0472,🏆 優秀 (現金流強勁),61.9,-1.9,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,⭐ A級：持續性擴張
6669.TW,緯穎,-10,-0.52,⚠️ 負流出 (擴產),-6378.04,-0.01,⚠️ 負值 (-5~0%),,有效季數不足,75.95,🚫 過度擴張 (>40%),0.2046,🚫 極高風險 (財報警示),43.9,-7.0,✅ 健康 (改善),🚫 F級：拒絕往來 (財報警示),"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -50, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": -15}",88,🔥 S級：結構性拐點
2368.TW,金像電,10,0.54,✅ 正流入,4283.62,0.01,⚡ 偏低 (0-2%),,有效季數不足,52.14,🚫 過度擴張 (>40%),0.1236,⚠️ 高風險 (財務虛胖),61.3,-5.9,✅ 健康 (改善),🛑 D級：高風險 (財務虛胖),"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -30, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": -15}",88,⭐ A級：持續性擴張
